Akaka (D-HI)	Alexander (R-TN)	Allard (R-CO)	Allen (R-VA)	Baucus (D-MT)	Bayh (D-IN)	Bennett (R-UT)	Biden (D-DE)	Bingaman (D-NM)	Bond (R-MO)	Boxer (D-CA)	Breaux (D-LA)	Brownback (R-KS)	Bunning (R-KY)	Burns (R-MT)	Byrd (D-WV)	Campbell (R-CO)	Cantwell (D-WA)	Carper (D-DE)	Chafee (R-RI)	Chambliss (R-GA)	Clinton (D-NY)	Cochran (R-MS)	Coleman (R-MN)	Collins (R-ME)	Conrad (D-ND)	Cornyn (R-TX)	Corzine (D-NJ)	Craig (R-ID)	Crapo (R-ID)	Daschle (D-SD)	Dayton (D-MN)	DeWine (R-OH)	Dodd (D-CT)	Dole (R-NC)	Domenici (R-NM)	Dorgan (D-ND)	Durbin (D-IL)	Edwards (D-NC)	Ensign (R-NV)	Enzi (R-WY)	Feingold (D-WI)	Feinstein (D-CA)	Fitzgerald (R-IL)	Frist (R-TN)	Graham (D-FL)	Graham (R-SC)	Grassley (R-IA)	Gregg (R-NH)	Hagel (R-NE)	Harkin (D-IA)	Hatch (R-UT)	Hollings (D-SC)	Hutchison (R-TX)	Inhofe (R-OK)	Inouye (D-HI)	Jeffords (I-VT)	Johnson (D-SD)	Kennedy (D-MA)	Kerry (D-MA)	Kohl (D-WI)	Kyl (R-AZ)	Landrieu (D-LA)	Lautenberg (D-NJ)	Leahy (D-VT)	Levin (D-MI)	Lieberman (D-CT)	Lincoln (D-AR)	Lott (R-MS)	Lugar (R-IN)	McCain (R-AZ)	McConnell (R-KY)	Mikulski (D-MD)	Miller (D-GA)	Murkowski (R-AK)	Murray (D-WA)	Nelson (D-FL)	Nelson (D-NE)	Nickles (R-OK)	Pryor (D-AR)	Reed (D-RI)	Reid (D-NV)	Roberts (R-KS)	Rockefeller (D-WV)	Santorum (R-PA)	Sarbanes (D-MD)	Schumer (D-NY)	Sessions (R-AL)	Shelby (R-AL)	Smith (R-OR)	Snowe (R-ME)	Specter (R-PA)	Stabenow (D-MI)	Stevens (R-AK)	Sununu (R-NH)	Talent (R-MO)	Thomas (R-WY)	Voinovich (R-OH)	Warner (R-VA)	Wyden (D-OR)	outcome	congress	session	date	type	question	prop	out
-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	-1 0 1	0 1	d	d	d	d	d	d	d
																																																																																																				class							
0	1	1	1	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0	0	1	0	1	1	0	0	1	0	1	1	0	0	1	0	1	1	0	0	0	1	1	0	-1	1	1	0	1	1	0	1	-1	1	-1	1	1	-1	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	1	0	1	1	0	0	1	1	1	0	0	1	0	1	0	0	1	1	1	0	1	0	1	0	1	1	1	1	0	1	108	108-1	January 22, 2003, 09:39 AM	 (Inhofe Amdt. No. 86, As Modified )	To provide for a study by the National Academy of Sciences.	1/2	Amendment Agreed to	
1	0	0	0	1	1	0	1	1	0	1	0	0	0	0	1	0	1	1	1	0	1	0	0	1	1	0	1	0	0	1	1	0	1	0	0	1	1	1	0	0	1	-1	0	0	1	0	0	1	0	-1	0	-1	0	0	-1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	1	0	1	0	0	1	1	1	0	0	1	1	0	1	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	108	108-1	January 22, 2003, 10:09 AM	 (Edwards Amdt. No. 67 )	To require a study of the final rule relating to prevention of significant deterioration and nonattainment new source review to determine the effects of the final rule on air pollution and human health.	1/2	Amendment Rejected	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	-1	1	-1	1	1	-1	1	1	1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	108	108-1	January 22, 2003, 12:10 PM	 (Confirmation Thomas J. Ridge, of Pennsylvania, to be Secretary of Homeland Security. )	Thomas J. Ridge, of Pennsylvania, to be Secretary of Homeland Security. (New Position)	1/2	Nomination Confirmed	
1	0	0	0	1	1	0	1	1	0	1	1	0	0	0	1	0	1	1	1	0	1	0	0	0	1	0	1	0	0	1	1	0	1	0	0	1	1	1	0	0	1	-1	0	0	1	0	0	0	0	-1	0	-1	0	0	-1	1	1	1	-1	1	0	1	1	1	1	-1	1	0	0	0	0	1	0	0	1	1	1	0	1	1	1	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	108	108-1	January 22, 2003, 02:22 PM	 (Motion To Waive C.B.A. RE: Reed Amdt. No. 40 )	To expend the Temporary Extended Unemployment Compensation Act of 2002.	3/5	Motion Rejected	
0	1	1	1	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0	1	1	0	1	1	1	0	1	0	1	1	0	0	1	-1	1	1	0	0	1	1	1	0	-1	1	1	0	1	1	1	1	-1	1	1	1	1	-1	0	0	0	-1	0	1	1	0	0	0	-1	1	1	1	1	1	0	1	1	0	0	0	1	1	0	0	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	108	108-1	January 22, 2003, 04:16 PM	 (Cochran Amdt. No. 204 )	To provide agricultural assistance.	1/2	Amendment Agreed to	
1	0	0	0	1	1	0	1	1	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	1	0	1	0	0	1	1	1	0	0	0	-1	0	0	1	0	0	0	0	-1	0	1	0	0	-1	1	1	1	-1	1	0	0	1	1	1	-1	0	0	0	0	0	1	0	0	1	1	1	0	1	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	108	108-1	January 22, 2003, 04:43 PM	 (Daschle Amdt. No. 79 )		1/2	Amendment Rejected	
0	1	1	1	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	1	1	0	1	1	1	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	1	0	-1	1	1	0	1	1	1	1	-1	1	0	1	0	-1	0	0	0	-1	0	1	0	0	0	0	-1	0	1	1	1	1	0	1	1	0	0	1	1	0	0	0	1	0	1	0	0	1	1	1	1	0	0	1	1	1	1	-1	1	0	1	108	108-1	January 22, 2003, 05:21 PM	 (Motion To Table Nelson(FL) Amdt. No. 97 )	To make additional appropriations for emergency relief activities.	1/2	Motion to Table Agreed to	
1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	0	0	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	-1	1	1	1	1	1	0	1	-1	1	1	1	1	-1	0	1	0	-1	1	1	0	1	0	1	-1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	0	0	1	0	1	0	0	1	1	1	1	1	1	0	1	1	108	108-1	January 22, 2003, 06:21 PM	 (Motion To Table Specter Amdt. No. 68 )	To provide special minimum funding requirements for certain pension plans maintained pursuant to collective bargaining agreements.	1/2	Motion to Table Agreed to	
0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	1	0	1	0	0	0	1	0	1	0	0	1	1	0	1	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	-1	0	0	0	0	-1	1	1	1	1	1	0	0	1	1	1	-1	1	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	108	108-1	January 23, 2003, 11:06 AM	 (Feingold Amdt. No. 200 )	To restrict funds made available for IMET assistance for Indonesian military personnel to "Expanded International Military Education and Training" assistance unless certain conditions are met.	1/2	Amendment Rejected	
0	1	1	1	0	0	1	0	0	1	0	0	1	1	1	0	1	0	0	0	1	0	1	1	1	0	1	0	1	1	0	0	1	0	1	1	0	0	0	1	1	0	0	1	1	0	1	1	1	1	-1	1	0	1	1	-1	0	0	0	0	0	1	0	0	0	0	-1	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	108	108-1	January 23, 2003, 01:41 PM	 (Motion to Table Kennedy Amdt. No. 123 )	To increase funding for reducing health disparities and promoting minority health.	1/2	Motion to Table Agreed to	
1	0	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	1	0	0	1	1	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	-1	0	1	0	0	-1	1	1	1	1	1	0	1	1	1	1	-1	1	0	0	0	0	1	0	0	1	1	1	0	1	1	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	108	108-1	January 23, 2003, 02:26 PM	 (Motion to Waive CBA Re: Clinton Amdt. No. 89 )	To improve health care under the medicare and medicaid programs.	3/5	Motion Rejected	
1	0	1	1	-1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	1	1	0	1	0	1	-1	0	1	0	0	-1	1	1	1	0	1	0	1	1	0	0	-1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	1	0	1	0	0	1	0	1	0	1	108	108-1	January 23, 2003, 02:40 PM	 (Motion To Table McCain Amdt. No. 214 )	To require completion of the feasibility study required by Public Law 105-245, and the other requirements of that law relating to construction of an emergency outlet at Devils Lake, North Dakota, before any appropriated funds are spent for the project.	1/2	Motion to Table Agreed to	
0	1	1	1	1	0	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	-1	1	1	1	1	-1	0	1	1	0	1	0	1	0	0	0	-1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	0	1	0	1	108	108-1	January 23, 2003, 03:04 PM	 (Motion to Table McCain Amdt. No. 230 )	To reduce the total construction general account in the Corps of Engineers, Flood Control, Mississippi River and Tributaries, etc., account by $14,750,000 and restore the appropriation for the Yazoo Basin Backwater Pumping Plant to the $250,000 level recommended by the President.	1/2	Motion to Table Agreed to	
0	1	1	1	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0	0	1	0	1	1	0	0	1	0	1	1	0	0	1	0	1	1	0	0	0	1	1	0	0	1	1	0	1	1	1	1	-1	1	0	1	1	-1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	1	1	1	0	1	0	1	1	1	1	1	1	0	1	108	108-1	January 23, 2003, 05:43 PM	 (Motion to Table Cantwell Amdt. No. 108 )	To increase appropriations for workforce investment activities.	1/2	Motion to Table Agreed to	
0	1	1	1	0	0	1	0	0	1	0	0	1	1	1	0	1	0	0	1	1	0	1	1	1	0	1	0	1	1	0	0	1	0	1	1	0	0	0	1	1	0	0	1	1	0	1	1	1	1	-1	1	0	1	1	-1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	1	0	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	1	108	108-1	January 23, 2003, 06:23 PM	 (Thomas Amdt. No. 246 )	To propose a substitute.	1/2	Amendment Agreed to	
1	0	0	0	1	1	0	1	1	0	1	1	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	1	0	1	0	0	1	1	1	0	0	1	1	0	0	1	0	0	0	0	-1	0	1	0	0	-1	1	1	1	-1	1	0	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	0	1	1	1	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	108	108-1	January 23, 2003, 07:13 PM	 (Mikulski Amdt. No. 247 )	To prohibit funds to be used to establish, apply, or enforce certain goals relating to Federal employees and public-private competitions or work force conversions, and for other purposes.	1/2	Amendment Rejected	
0	1	1	1	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0	1	1	0	1	1	0	0	1	0	1	1	0	0	1	0	1	1	0	0	0	1	1	0	0	1	1	0	1	1	1	1	-1	1	0	1	1	-1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	1	1	0	0	0	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	108	108-1	January 23, 2003, 08:02 PM	 (Motion to Table Lautenberg Amdt. No. 192 )	To increase the appropriation for the Hazardous Substance Superfund.	1/2	Motion to Table Agreed to	
0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	0	0	1	1	0	0	0	1	0	1	1	1	1	-1	1	1	1	1	-1	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	108	108-1	January 23, 2003, 08:37 PM	 (H.J.Res. 2 )		1/2	Joint Resolution Passed	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	108	108-1	January 30, 2003, 02:50 PM	 (Confirmation Gordon England, of Texas, to be Deputy Secretary of Homeland Security )	Gordon England, of Texas, to be Deputy Secretary of Homeland Security. (New Position)	1/2	Nomination Confirmed	
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	-1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	108	108-1	February 5, 2003, 02:22 PM	 (S. Res. 45 )		1/2	Resolution Agreed to	
1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	-1	1	1	1	1	1	1	1	-1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	108	108-1	February 10, 2003, 05:16 PM	 (Confirmation John R. Adams, Of Ohio, To Be U.S. Ditrict Judge )	John R. Adams, of Ohio, to be United States District Judge for the Northern District of Ohio, vice George Washington White, retired.	1/2	Nomination Confirmed	
1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	108	108-1	February 10, 2003, 05:50 PM	 (Confirmation: S. James Otero, Of California, To Be U.S. District Judge )	S. James Otero, of California, to be United States District Judge for the Central District of California, vice Richard A. Paez, elevated.	1/2	Nomination Confirmed	
1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	-1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	108	108-1	February 10, 2003, 06:05 PM	 (Confirmation Robert A. Junell, Of Texas, To Be U.S. District Judge )	Robert A. Junell, of Texas, to be United States District Judge for the Western District of Texas, vice Hipolito Frank Garcia, deceased.	1/2	Nomination Confirmed	
1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	1	0	1	1	1	0	0	1	1	0	1	0	1	-1	1	1	1	1	1	1	1	1	1	1	0	1	0	-1	1	1	1	0	-1	0	0	1	1	1	1	-1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	108	108-1	February 13, 2003, 10:14 PM	 (Conference Report, H.J.Res.2 )		1/2	Conference Report Agreed to	
